Time,ZW,ZZ,MaZ,MbZ,MaMb,MaMa,MbMb,RZ,MaR,MbR,RR,MaW,MbW,RW,generation,threshold,rM,total_females
60,89.6282571770957,0,0,0,0,0,0,0,0,0,0,287.029958659549,287.004626324103,0.393062437458117,3,0.9,8e-4,664.0559045982059
90,51.2823840955305,0,0,0,0,0,0,0,0,0,0,62.3658918286984,62.3376155005196,0.783219670652286,4,0.9,8e-4,176.76911109540077
120,42.5865643805148,0,0,0,0,0,0,0,0,0,0,51.4674989091043,51.4188645844244,1.4017359220603,5,0.9,8e-4,146.8746637961038
150,46.8977073907104,0,0,0,0,0,0,0,0,0,0,47.7180861976178,47.6619929387359,3.35842913468875,6,0.9,8e-4,145.63621566175286
180,55.0995099474728,0,0,0,0,0,0,0,0,0,0,47.6357278401802,47.5793949285899,7.36483734257093,7,0.9,8e-4,157.67947005881382
210,65.1352303395034,0,0,0,0,0,0,0,0,0,0,46.7942187108417,46.7407024588208,14.7484455572337,8,0.9,8e-4,173.4185970663996
240,75.3050134545949,0,0,0,0,0,0,0,0,0,0,44.4688792568259,44.4203463363206,26.1840696537526,9,0.9,8e-4,190.378308701494
270,84.0815940151324,0,0,0,0,0,0,0,0,0,0,40.5057109921156,40.4639840062826,41.0917050142941,10,0.9,8e-4,206.1429940278247
300,90.4111407489965,0,0,0,0,0,0,0,0,0,0,35.5048591436881,35.4706492093746,57.7104271297248,11,0.9,8e-4,219.097076231784
330,94.1397630771327,0,0,0,0,0,0,0,0,0,0,30.2777932471192,30.2506368299779,74.0601416269045,12,0.9,8e-4,228.7283347811343
360,95.7548369741678,0,0,0,0,0,0,0,0,0,0,25.427870798092,25.4066292974316,88.8279859309939,13,0.9,8e-4,235.41732300068531
390,95.9434446189918,0,0,0,0,0,0,0,0,0,0,21.2328936250722,21.2162938726374,101.503424247158,14,0.9,8e-4,239.8960563638594
420,95.2951807311623,0,0,0,0,0,0,0,0,0,0,17.7367583200632,17.72368912946,112.106389904018,15,0.9,8e-4,242.8620180847035
450,94.2191412455773,0,0,0,0,0,0,0,0,0,0,14.8710382514345,14.8606317904482,120.888359104966,16,0.9,8e-4,244.839170392426
480,92.9671817068052,0,0,0,0,0,0,0,0,0,0,12.53305323781,12.5246638597255,128.15475352162,17,0.9,8e-4,246.1796523259607
510,91.6828235015545,0,0,0,0,0,0,0,0,0,0,10.6222198205508,10.6153749189285,134.188080451899,18,0.9,8e-4,247.10849869293278
540,90.4425822021802,0,0,0,0,0,0,0,0,0,0,9.05261426014063,9.04696772735648,139.225035635098,19,0.9,8e-4,247.76719982477533
570,89.2838380663828,0,0,0,0,0,0,0,0,0,0,7.75493761422458,7.75023375075139,143.455992623238,20,0.9,8e-4,248.24500205459677
600,88.2219022284057,0,0,0,0,0,0,0,0,0,0,6.67465331066898,6.67070082983796,147.03172041767,21,0.9,8e-4,248.59897678658263
630,87.2600088484746,0,0,0,0,0,0,0,0,0,0,5.76920748185518,5.76586128623281,150.071236774875,22,0.9,8e-4,248.86631439143758
660,86.3950382174416,0,0,0,0,0,0,0,0,0,0,5.00540448519368,5.00255296619061,152.668762543124,23,0.9,8e-4,249.07175821194988
690,85.6207537016878,0,0,0,0,0,0,0,0,0,0,4.35724126789232,4.35479741537633,154.899325764101,24,0.9,8e-4,249.23211814905747
720,84.9296113173713,0,0,0,0,0,0,0,0,0,0,3.80421718577124,3.80211230534795,156.82310590695,25,0.9,8e-4,249.35904671544048
750,84.3137536864168,0,0,0,0,0,0,0,0,0,0,3.33004687072553,3.32822609082674,158.488749383982,26,0.9,8e-4,249.46077603195107
780,83.7655386504497,0,0,0,0,0,0,0,0,0,0,2.92168943895346,2.92010845646594,159.93588885774,27,0.9,8e-4,249.54322540360909
810,83.2778030463845,0,0,0,0,0,0,0,0,0,0,2.5686176030626,2.56724029532693,161.197060273439,28,0.9,8e-4,249.61072121821303
840,82.8439767896986,0,0,0,0,0,0,0,0,0,0,2.26226599293725,2.26106264307075,162.299168262387,29,0.9,8e-4,249.66647368809362
870,82.4581136408891,0,0,0,0,0,0,0,0,0,0,1.9956126496979,1.99455861148283,163.264613341513,30,0.9,8e-4,249.71289824358283
900,82.1148769993897,0,0,0,0,0,0,0,0,0,0,1.76285950735058,1.76193418902921,164.112165176068,31,0.9,8e-4,249.7518358718375
930,81.8095028474878,0,0,0,0,0,0,0,0,0,0,1.55918670108455,1.55837278328825,164.85764424117,32,0.9,8e-4,249.7847065730306
960,81.5377525204408,0,0,0,0,0,0,0,0,0,0,1.3805622234569,1.37984505100613,165.514458024318,33,0.9,8e-4,249.81261781922183
990,81.2958624532538,0,0,0,0,0,0,0,0,0,0,1.22359333437703,1.22296043861603,166.094026042855,34,0.9,8e-4,249.83644226910187
1020,81.0804948165534,0,0,0,0,0,0,0,0,0,0,1.08540968453647,1.08485040469008,166.606119264775,35,0.9,8e-4,249.85687417055496
1050,80.8886910607233,0,0,0,0,0,0,0,0,0,0,0.963570697171022,0.963075877562605,167.059133152124,36,0.9,8e-4,249.87447078758092
1080,80.7178292891963,0,0,0,0,0,0,0,0,0,0,0.855991638830189,0.855553384763132,167.460308856798,37,0.9,8e-4,249.88968316958764
1110,80.5655857551753,0,0,0,0,0,0,0,0,0,0,0.760884191449441,0.760495670858201,167.815913627841,38,0.9,8e-4,249.90287924532396
1140,80.4299004293444,0,0,0,0,0,0,0,0,0,0,0.676708355737104,0.67636363685043,168.131388905298,39,0.9,8e-4,249.91436132722993
1170,80.3089464050005,0,0,0,0,0,0,0,0,0,0,0.602133270037199,0.601827187604542,168.4114726398,40,0.9,8e-4,249.92437950244224
1200,80.2011028229152,0,0,0,0,0,0,0,0,0,0,0.536005091190585,0.535733135537191,168.660300917273,41,0.9,8e-4,249.93314196691597
1230,80.1049309699942,0,0,0,0,0,0,0,0,0,0,0.47732050595683,0.477078730417424,168.881492860346,42,0.9,8e-4,249.94082306671444
1260,80.0191532087357,0,0,0,0,0,0,0,0,0,0,0.425204760329258,0.424989703580544,169.078221931858,43,0.9,8e-4,249.9475696045035
1290,79.9426344138576,0,0,0,0,0,0,0,0,0,0,0.378893336377846,0.378701956928847,169.253276115425,44,0.9,8e-4,249.9535058225893
1320,79.8743656195568,0,0,0,0,0,0,0,0,0,0,0.337716591584005,0.337546212250077,169.409108945046,45,0.9,8e-4,249.95873736843689
1350,79.8134496106216,0,0,0,0,0,0,0,0,0,0,0.301086818250223,0.300935078874521,169.547882964267,46,0.9,8e-4,249.96335447201335
1380,79.7590882202188,0,0,0,0,0,0,0,0,0,0,0.268487290972663,0.268352107999627,169.671506889117,47,0.9,8e-4,249.9674345083081
1410,79.7105711251023,0,0,0,0,0,0,0,0,0,0,0.239462956127952,0.239342487900256,169.781667507841,48,0.9,8e-4,249.9710440769715
1440,79.6672659545311,0,0,0,0,0,0,0,0,0,0,0.213612484635453,0.213505101496246,169.879857159603,49,0.9,8e-4,249.9742407002658
1470,79.628609552103,0,0,0,0,0,0,0,0,0,0,0.190581462250534,0.190485720699597,169.967397482334,50,0.9,8e-4,249.97707421738713
1500,79.5941002499997,0,0,0,0,0,0,0,0,0,0,0.17005653359107,0.16997115387665,170.045459998359,51,0.9,8e-4,249.97958793582643
1530,79.5632910329733,0,0,0,0,0,0,0,0,0,0,0.151760349475681,0.151684196110535,170.115084008603,52,0.9,8e-4,249.9818195871625
1560,79.5357834849691,0,0,0,0,0,0,0,0,0,0,0.135447193844995,0.135379258621339,170.17719218712799,53,0.9,8e-4,249.98380212456343
1590,79.5112224248495,0,0,0,0,0,0,0,0,0,0,0.12089918799217,0.120838575140124,170.232604203458,54,0.9,8e-4,249.98556439143982
1620,79.4892911494601,0,0,0,0,0,0,0,0,0,0,0.10792298715867,0.107868900349815,170.282048647721,55,0.9,8e-4,249.9871316846896
1650,79.4697072125189,0,0,0,0,0,0,0,0,0,0,0.0963468986169329,0.0962986295613037,170.326173490542,56,0.9,8e-4,249.98852623123915
1680,79.4522186766859,0,0,0,0,0,0,0,0,0,0,0.08601836183212,0.085975280255455,170.365555274152,57,0.9,8e-4,249.9897675929255
1710,79.436600783891,0,0,0,0,0,0,0,0,0,0,0.076801740693268,0.0767632855132249,170.400707201756,58,0.9,8e-4,249.9908730118535
1740,79.4226529956988,0,0,0,0,0,0,0,0,0,0,0.0685763855397517,0.068542057086279,170.432086267771,59,0.9,8e-4,249.99185770609583
1770,79.4101963613281,0,0,0,0,0,0,0,0,0,0,0.0612349291048603,0.0612042822520813,170.460099551062,60,0.9,8e-4,249.99273512374705
