Time,ZW,ZZ,MZ,MM,MW,RW,RZ,MR,RR,generation,threshold,rM,releases,total_females
750,245.125778183151,0,0,0,0.8069525556759,3.78822720064906,0,0,0,26,0.1,0.001,10,249.72095793947597
780,245.557595564542,0,0,0,0.476213080309036,3.80078970422503,0,0,0,27,0.1,0.001,10,249.83459834907606
810,245.81410495703,0,0,0,0.280088876978977,3.80822889734197,0,0,0,28,0.1,0.001,10,249.90242273135095
840,245.965592996507,0,0,0,0.164404667465338,3.81261371766573,0,0,0,29,0.1,0.001,10,249.94261138163807
870,246.054736460112,0,0,0,0.0963854169903005,3.81519087425687,0,0,0,30,0.1,0.001,10,249.96631275135917
900,246.107078232115,0,0,0,0.0564677634537102,3.81670298399688,0,0,0,31,0.1,0.001,10,249.98024897956557
930,246.137770876553,0,0,0,0.0330680496307977,3.81758928142408,0,0,0,32,0.1,0.001,10,249.98842820760788
960,246.155754545245,0,0,0,0.0193602127573532,3.81810845262183,0,0,0,33,0.1,0.001,10,249.9932232106242
990,246.166286755408,0,0,0,0.0113331136514084,3.81841246061525,0,0,0,34,0.1,0.001,10,249.99603232967468
1020,246.172453287646,0,0,0,0.00663363822716369,3.81859043893172,0,0,0,35,0.1,0.001,10,249.99767736480487
1050,246.176063161279,0,0,0,0.00388269162349482,3.8186946214649,0,0,0,36,0.1,0.001,10,249.9986404743674
1080,246.178176171358,0,0,0,0.00227248733248558,3.81875560194993,0,0,0,37,0.1,0.001,10,249.9992042606404
1110,246.179412935345,0,0,0,0.00133003386890384,3.81879129372558,0,0,0,38,0.1,0.001,10,249.99953426293948
1140,246.180136800783,0,0,0,7.7843011915416e-4,3.81881218353548,0,0,0,39,0.1,0.001,10,249.99972741443764
1170,246.18056046375,0,0,0,4.5558985710067e-4,3.81882440981749,0,0,0,40,0.1,0.001,10,249.9998404634246
1200,246.180808421836,0,0,0,2.6664103695105e-4,3.81883156549196,0,0,0,41,0.1,0.001,10,249.9999066283649
1230,246.180953543812,0,0,0,1.560554968366e-4,3.81883575347143,0,0,0,42,0.1,0.001,10,249.99994535278026
1260,246.181038478758,0,0,0,9.133361498921e-5,3.81883820454995,0,0,0,43,0.1,0.001,10,249.99996801692296
1290,246.181088188174,0,0,0,5.34542116486939e-5,3.81883963907836,0,0,0,44,0.1,0.001,10,249.999981281464
1320,246.181117281297,0,0,0,3.12847751247834e-5,3.81884047865556,0,0,0,45,0.1,0.001,10,249.99998904472767
1350,246.181134308435,0,0,0,1.830981875032e-5,3.81884097002921,0,0,0,46,0.1,0.001,10,249.99999358828296
1380,246.181144273792,0,0,0,1.07160564731226e-5,3.81884125761204,0,0,0,47,0.1,0.001,10,249.9999962474605
1410,246.181150106145,0,0,0,6.271709116449e-6,3.81884142592359,0,0,0,48,0.1,0.001,10,249.99999780377772
1440,246.181153519605,0,0,0,3.6705978084417e-6,3.81884152443009,0,0,0,49,0.1,0.001,10,249.9999987146329
1470,246.181155517376,0,0,0,2.14826415784188e-6,3.81884158208228,0,0,0,50,0.1,0.001,10,249.99999924772243
1500,246.181156686597,0,0,0,1.25729896298334e-6,3.81884161582395,0,0,0,51,0.1,0.001,10,249.99999955971992
1530,246.181157370899,0,0,0,7.35850226684944e-7,3.8188416355717,0,0,0,52,0.1,0.001,10,249.99999974232094
