Time,ZW,ZZ,MZ,MM,MW,RW,RZ,MR,RR,generation,threshold,rM,total_females
1740,249.99999999995,0,0,0,3.6083956469856097e-11,0,0,0,0,59,0.1,0,249.9999999999861
1770,249.999999999972,0,0,0,2.0758327379030398e-11,0,0,0,0,60,0.1,0,249.99999999999275
1800,249.999999999984,0,0,0,1.1941821178475698e-11,0,0,0,0,61,0.1,0,249.99999999999594
1830,249.99999999999,0,0,0,6.86987397658718e-12,0,0,0,0,62,0.1,0,249.99999999999687
1860,249.999999999995,0,0,0,3.9520913727340594e-12,0,0,0,0,63,0.1,0,249.99999999999895
1890,249.999999999997,0,0,0,2.2735535282988897e-12,0,0,0,0,64,0.1,0,249.99999999999926
1920,249.999999999999,0,0,0,1.30792665415128e-12,0,0,0,0,65,0.1,0,250.0000000000003
1950,249.999999999999,0,0,0,7.524221934283209e-13,0,0,0,0,66,0.1,0,249.99999999999974
1980,250,0,0,0,4.32852373920656e-13,0,0,0,0,67,0.1,0,250.00000000000043
0,250,0,0,0,0,0,0,0,0,1,0.1,1e-4,250
30,250.000322400697,0,0,0,0,0,0,0,0,2,0.1,1e-4,250.000322400697
60,250.000090984018,0,0,0,0,0,0,0,0,3,0.1,1e-4,250.000090984018
90,250.000018876751,0,0,0,0,0,0,0,0,4,0.1,1e-4,250.000018876751
120,244.230669682594,0,0,0,12.0696704207212,0.00117582354826699,0,0,0,5,0.1,1e-4,256.3015159268635
150,229.865658904334,0,0,0,25.0220718278532,0.00484162865390396,0,0,0,6,0.1,1e-4,254.89257236084111
180,218.068666361461,0,0,0,33.6726214388435,0.00978511041824205,0,0,0,7,0.1,1e-4,251.75107291072274
210,214.786239404975,0,0,0,28.8088064222911,0.0147320906436161,0,0,0,8,0.1,1e-4,243.6097779179097
240,222.566992011483,0,0,0,20.9723553490081,0.0188398431327293,0,0,0,9,0.1,1e-4,243.55818720362382
270,230.777868392858,0,0,0,14.4116041087642,0.022253938671523,0,0,0,10,0.1,1e-4,245.21172644029375
300,237.316538857149,0,0,0,9.44903805059379,0.0247082223733379,0,0,0,11,0.1,1e-4,246.79028513011613
330,241.972280517403,0,0,0,5.95298961488138,0.0263696311604534,0,0,0,12,0.1,1e-4,247.95163976344483
360,245.068078737955,0,0,0,3.63716043551266,0.0274353544007997,0,0,0,13,0.1,1e-4,248.73267452786845
390,247.030902443586,0,0,0,2.17417369409793,0.0280945064152443,0,0,0,14,0.1,1e-4,249.23317064409918
420,248.234339737048,0,0,0,1.28072141010705,0.0284916847577747,0,0,0,15,0.1,1e-4,249.54355283191282
450,248.955381057836,0,0,0,0.747374857725187,0.0287269005948178,0,0,0,16,0.1,1e-4,249.73148281615602
480,249.380834020066,0,0,0,0.433615811955516,0.0288646401274653,0,0,0,17,0.1,1e-4,249.843314472149
510,249.629415239985,0,0,0,0.250701109005531,0.028944732031749,0,0,0,18,0.1,1e-4,249.9090610810223
540,249.773762798234,0,0,0,0.144647344856542,0.0289911023079141,0,0,0,19,0.1,1e-4,249.94740124539845
570,249.857267763602,0,0,0,0.0833565399403283,0.029017879221218,0,0,0,20,0.1,1e-4,249.96964218276355
600,249.905465773198,0,0,0,0.0480024850598193,0.029033317896635,0,0,0,21,0.1,1e-4,249.98250157615445
630,249.933247551927,0,0,0,0.0276319237306723,0.0290422112359802,0,0,0,22,0.1,1e-4,249.98992168689364
660,249.949248518515,0,0,0,0.0159021752284817,0.0290473314624934,0,0,0,23,0.1,1e-4,249.99419802520598
690,249.958460029843,0,0,0,0.00915046473270754,0.0290502784582761,0,0,0,24,0.1,1e-4,249.99666077303397
720,249.963761525114,0,0,0,0.00526497000437535,0.0290519743270712,0,0,0,25,0.1,1e-4,249.99807846944543
750,249.966812214215,0,0,0,0.00302920840542084,0.0290529501255385,0,0,0,26,0.1,1e-4,249.99889437274595
780,249.968567542112,0,0,0,0.00174281457535392,0.0290535115639619,0,0,0,27,0.1,1e-4,249.99936386825132
810,249.969577482858,0,0,0,0.00100269016659191,0.0290538345838112,0,0,0,28,0.1,1e-4,249.9996340076084
840,249.970158542167,0,0,0,5.7687087468495e-4,0.029054020427447,0,0,0,29,0.1,1e-4,249.99978943346915
870,249.97049284303301,0,0,0,3.3188554053843e-4,0.0290541273480077,0,0,0,30,0.1,1e-4,249.99987885592157
900,249.970685174439,0,0,0,1.909399570961e-4,0.0290541888617163,0,0,0,31,0.1,1e-4,249.99993030325783
930,249.97079582673,0,0,0,1.0985114853437e-4,0.0290542242517485,0,0,0,32,0.1,1e-4,249.99995990213029
960,249.970859487104,0,0,0,6.3199257532978e-5,0.0290542446122775,0,0,0,33,0.1,1e-4,249.99997693097382
990,249.970896112061,0,0,0,3.63596016229748e-5,0.0290542563260455,0,0,0,34,0.1,1e-4,249.99998672798867
1020,249.970917183034,0,0,0,2.09182872011096e-5,0.0290542630651759,0,0,0,35,0.1,1e-4,249.99999236438637
1050,249.970929305523,0,0,0,1.20346384938874e-5,0.029054266942311,0,0,0,36,0.1,1e-4,249.99999560710378
1080,249.970936279794,0,0,0,6.92372694816683e-6,0.0290542691728914,0,0,0,37,0.1,1e-4,249.99999747269382
1110,249.970940292208,0,0,0,3.98333460906343e-6,0.0290542704561814,0,0,0,38,0.1,1e-4,249.9999985459988
1140,249.970942600616,0,0,0,2.2916781940091e-6,0.0290542711944793,0,0,0,39,0.1,1e-4,249.9999991634887
1170,249.970943928682,0,0,0,1.31844029126687e-6,0.0290542716192343,0,0,0,40,0.1,1e-4,249.99999951874153
