Time,ZW,ZZ,MZ,MM,MW,RW,RZ,MR,RR,generation,threshold,rM,releases,total_females
870,245.251056290972,0,0,0,0.0200659925322828,4.72192707078773,0,0,0,30,0.1,0.001,10,249.99304935429203
900,245.261807382647,0,0,0,0.0117947591181832,4.72231162999287,0,0,0,31,0.1,0.001,10,249.99591377175804
930,245.268128050595,0,0,0,0.00693235221435928,4.72253769578499,0,0,0,32,0.1,0.001,10,249.99759809859435
960,245.271843427937,0,0,0,0.00407427625037674,4.72267057342595,0,0,0,33,0.1,0.001,10,249.99858827761332
990,245.274027169897,0,0,0,0.00239445991954576,4.72274867086691,0,0,0,34,0.1,0.001,10,249.99917030068346
1020,245.275310608874,0,0,0,0.00140720436939551,4.72279456981799,0,0,0,35,0.1,0.001,10,249.9995123830614
1050,245.276064892565,0,0,0,8.2699402526227e-4,4.7228215445772,0,0,0,36,0.1,0.001,10,249.99971343116746
1080,245.276508180316,0,0,0,4.8600974719307e-4,4.72283739737207,0,0,0,37,0.1,0.001,10,249.99983158743527
1110,245.276768694731,0,0,0,2.8561832300218e-4,4.72284671381761,0,0,0,38,0.1,0.001,10,249.9999010268716
1140,245.276921794613,0,0,0,1.6785189782486e-4,4.72285218892189,0,0,0,39,0.1,0.001,10,249.9999418354327
1170,245.277011768448,0,0,0,9.86429204097044e-5,4.72285540653046,0,0,0,40,0.1,0.001,10,249.99996581789887
1200,245.277064644204,0,0,0,5.79702639763249e-5,4.72285729745083,0,0,0,41,0.1,0.001,10,249.99997991191879
1230,245.277095718146,0,0,0,3.40678285556108e-5,4.72285840870349,0,0,0,42,0.1,0.001,10,249.99998819467805
1260,245.277113979618,0,0,0,2.00208965385518e-5,4.72285906176204,0,0,0,43,0.1,0.001,10,249.9999930622766
1290,245.277124711477,0,0,0,1.1765828857738e-5,4.72285944554992,0,0,0,44,0.1,0.001,10,249.9999959228558
1320,245.27713101835,0,0,0,6.91451138055045e-6,4.72285967109341,0,0,0,45,0.1,0.001,10,249.99999760395477
1350,245.277134724756,0,0,0,4.06350167302734e-6,4.72285980364023,0,0,0,46,0.1,0.001,10,249.9999985918979
1380,245.277136902928,0,0,0,2.3880277946061e-6,4.72285988153499,0,0,0,47,0.1,0.001,10,249.9999991724908
1410,245.277138182989,0,0,0,1.40338976293934e-6,4.72285992731198,0,0,0,48,0.1,0.001,10,249.99999951369074
1440,245.277138935253,0,0,0,8.24740319706907e-7,4.72285995421408,0,0,0,49,0.1,0.001,10,249.9999997142074
1470,245.277139377341,0,0,0,4.8468116902923e-7,4.72285997002383,0,0,0,50,0.1,0.001,10,249.999999832046
1500,245.277139637146,0,0,0,2.84836122567656e-7,4.72285997931485,0,0,0,51,0.1,0.001,10,249.99999990129697
1530,245.277139789828,0,0,0,1.67391724162172e-7,4.72285998477499,0,0,0,52,0.1,0.001,10,249.9999999419947
1560,245.277139879556,0,0,0,9.83723167959798e-8,4.72285998798378,0,0,0,53,0.1,0.001,10,249.99999996591208
1590,245.277139932287,0,0,0,5.78111776635314e-8,4.72285998986952,0,0,0,54,0.1,0.001,10,249.99999997996773
1620,245.277139963275,0,0,0,3.39743168637842e-8,4.72285999097772,0,0,0,55,0.1,0.001,10,249.99999998822705
1650,245.277139981486,0,0,0,1.9965934836961e-8,4.72285999162899,0,0,0,56,0.1,0.001,10,249.9999999930809
1680,245.277139992189,0,0,0,1.17335266947285e-8,4.72285999201172,0,0,0,57,0.1,0.001,10,249.99999999593425
1710,245.277139998479,0,0,0,6.8955272972940805e-9,4.72285999223665,0,0,0,58,0.1,0.001,10,249.99999999761116
1740,245.277140002175,0,0,0,4.05234486974196e-9,4.72285999236883,0,0,0,59,0.1,0.001,10,249.99999999859617
1770,245.277140004347,0,0,0,2.3814710949354403e-9,4.72285999244651,0,0,0,60,0.1,0.001,10,249.99999999917497
1800,245.277140005623,0,0,0,1.39953650496601e-9,4.72285999249216,0,0,0,61,0.1,0.001,10,249.9999999995147
1830,245.277140006374,0,0,0,8.22475835578348e-10,4.72285999251899,0,0,0,62,0.1,0.001,10,249.99999999971547
1860,245.277140006815,0,0,0,4.8335037900474e-10,4.72285999253476,0,0,0,63,0.1,0.001,10,249.9999999998331
1890,245.277140007074,0,0,0,2.84054046060732e-10,4.72285999254402,0,0,0,64,0.1,0.001,10,249.99999999990206
1920,245.277140007226,0,0,0,1.66932115062056e-10,4.72285999254947,0,0,0,65,0.1,0.001,10,249.9999999999424
1950,245.277140007315,0,0,0,9.810221479154649e-11,4.72285999255267,0,0,0,66,0.1,0.001,10,249.99999999996578
1980,245.277140007368,0,0,0,5.76524447882438e-11,4.72285999255455,0,0,0,67,0.1,0.001,10,249.9999999999802
0,250,0,0,0,0,0,0,0,0,1,0.1,0.001,2,250
30,187.442321368681,0,0,0,53.5655701830912,0.00678027827088865,0,0,0,2,0.1,0.001,2,241.01467183004308
60,204.6558702774,0,0,0,28.2382841099849,0.0797684939363106,0,0,0,3,0.1,0.001,2,232.97392288132122
90,217.289329571101,0,0,0,23.8044246375565,0.110938938102216,0,0,0,4,0.1,0.001,2,241.20469314675972
120,227.077917625707,0,0,0,16.8542746464203,0.14457083176941599,0,0,0,5,0.1,0.001,2,244.0767631038967
150,234.664221317676,0,0,0,11.2681325199885,0.168428429164523,0,0,0,6,0.1,0.001,2,246.10078226682904
180,240.116558687563,0,0,0,7.20717654017974,0.184947506657848,0,0,0,7,0.1,0.001,2,247.5086827344006
210,243.800610981773,0,0,0,4.45311063797654,0.195663208529317,0,0,0,8,0.1,0.001,2,248.44938482827885
240,246.170494202406,0,0,0,2.68292976651672,0.202363986558722,0,0,0,9,0.1,0.001,2,249.05578795548143
270,247.6397918256,0,0,0,1.58873118656536,0.206431327086579,0,0,0,10,0.1,0.001,2,249.43495433925196
300,248.527123693461,0,0,0,0.930268132480302,0.208852522625385,0,0,0,11,0.1,0.001,2,249.6662443485667
330,249.053511814728,0,0,0,0.540894169135469,0.210275115711138,0,0,0,12,0.1,0.001,2,249.80468109957462
360,249.362151617352,0,0,0,0.313156632317753,0.211104125046407,0,0,0,13,0.1,0.001,2,249.88641237471614
390,249.541782829843,0,0,0,0.180845011033401,0.21158476849571,0,0,0,14,0.1,0.001,2,249.9342126093721
420,249.645852468684,0,0,0,0.104280349751075,0.211862578418421,0,0,0,15,0.1,0.001,2,249.9619953968535
450,249.705978369426,0,0,0,0.0600786606456308,0.212022856360961,0,0,0,16,0.1,0.001,2,249.9780798864326
480,249.740658416464,0,0,0,0.0345954313771822,0.212115225935788,0,0,0,17,0.1,0.001,2,249.98736907377696
510,249.760641971785,0,0,0,0.0199154688773551,0.212168425566869,0,0,0,18,0.1,0.001,2,249.99272586622922
540,249.772150419942,0,0,0,0.0114627603598917,0.212199054225146,0,0,0,19,0.1,0.001,2,249.99581223452702
570,249.778775873807,0,0,0,0.00659698898890794,0.21221668430849,0,0,0,20,0.1,0.001,2,249.9975895471044
600,249.782589430993,0,0,0,0.00379645311060862,0.212226831059331,0,0,0,21,0.1,0.001,2,249.99861271516295
630,249.784784236974,0,0,0,0.00218472285318263,0.212232670464183,0,0,0,22,0.1,0.001,2,249.99920163029137
660,249.786047325647,0,0,0,0.00125720651172842,0.212236030874233,0,0,0,23,0.1,0.001,2,249.99954056303295
690,249.786774193223,0,0,0,7.2345623522959e-4,0.212237964647925,0,0,0,24,0.1,0.001,2,249.99973561410616
720,249.787192473497,0,0,0,4.1630846619139e-4,0.212239077437576,0,0,0,25,0.1,0.001,2,249.99984785940075
750,249.787433172381,0,0,0,2.3956131545204e-4,0.212239717787093,0,0,0,26,0.1,0.001,2,249.99991245148354
780,249.787571681273,0,0,0,1.3785332745303e-4,0.21224008627151,0,0,0,27,0.1,0.001,2,249.99994962087194
810,249.787651385153,0,0,0,7.93263204682231e-5,0.212240298312602,0,0,0,28,0.1,0.001,2,249.99997100978607
840,249.787697250027,0,0,0,4.56475081414493e-5,0.212240420329586,0,0,0,29,0.1,0.001,2,249.99998331786475
870,249.787723642519,0,0,0,2.62673748242832e-5,0.212240490543012,0,0,0,30,0.1,0.001,2,249.99999040043684
900,249.787738829807,0,0,0,1.51152791160864e-5,0.212240530946589,0,0,0,31,0.1,0.001,2,249.99999447603273
930,249.787747569172,0,0,0,8.69792413625961e-6,0.212240554196397,0,0,0,32,0.1,0.001,2,249.99999682129254
960,249.787752598146,0,0,0,5.00512614557233e-6,0.212240567575248,0,0,0,33,0.1,0.001,2,249.9999981708474
990,249.78775549201401,0,0,0,2.88014545513061e-6,0.212240575273964,0,0,0,34,0.1,0.001,2,249.99999894743343
1020,249.78775715726,0,0,0,1.65734836623513e-6,0.212240579704105,0,0,0,35,0.1,0.001,2,249.99999939431245
1050,249.787758115507,0,0,0,9.53703072035912e-7,0.212240582253382,0,0,0,36,0.1,0.001,2,249.99999965146344
1080,249.787758666921,0,0,0,5.48798044386411e-7,0.212240583720337,0,0,0,37,0.1,0.001,2,249.9999997994394
