"Time","WW","WM","WR","MM","MR","RR"
1269,2.31528745549539e-19,20.1434197782323,0,229.783434769067,0,0
1270,2.13616676108951e-19,20.1167906089752,0,229.810270836342,0,0
1271,1.97087262498005e-19,20.0902314322687,0,229.837036036098,0,0
1272,1.81834022785031e-19,20.0637419734012,0,229.863730647967,0,0
1273,1.67758655828402e-19,20.0373219590929,0,229.890354950115,0,0
1274,1.54770414325198e-19,20.0109711174871,0,229.916909219254,0,0
1275,1.42785525783649e-19,19.9846891781405,0,229.943393730645,0,0
1276,1.31726657765892e-19,19.9584758720143,0,229.969808758111,0,0
1277,1.21522424025355e-19,19.9323309314649,0,229.996154574048,0,0
1278,1.12106928419714e-19,19.9062540902351,0,230.022431449435,0,0
1279,1.03419343717681e-19,19.8802450834447,0,230.048639653833,0,0
1280,9.5403522637024e-20,19.8543036475826,0,230.074779455409,0,0
1281,8.80076386539043e-20,19.828429520497,0,230.100851120937,0,0
1282,8.11838543108019e-20,19.8026224413871,0,230.126854915805,0,0
1283,7.48880149233417e-20,19.7768821507941,0,230.152791104029,0,0
1284,6.90793657462155e-20,19.7512083905933,0,230.178659948261,0,0
1285,6.37202908061458e-20,19.725600903985,0,230.204461709794,0,0
1286,5.87760717463578e-20,19.7000594354859,0,230.230196648575,0,0
1287,5.42146651531849e-20,19.6745837309211,0,230.255865023211,0,0
1288,5.00064969519975e-20,19.6491735374157,0,230.281467090981,0,0
1289,4.61242725673544e-20,19.623828603386,0,230.307003107841,0,0
1290,4.25428016417946e-20,19.5985486785323,0,230.33247332843,0,0
1291,3.92388361996419e-20,19.5733335138295,0,230.357878006088,0,0
1292,3.61909212271473e-20,19.5481828615202,0,230.383217392854,0,0
1293,3.33792567187959e-20,19.5230964751057,0,230.408491739482,0,0
1294,3.07855703121192e-20,19.4980741093385,0,230.433701295442,0,0
1295,2.83929997003607e-20,19.4731155202146,0,230.458846308935,0,0
1296,2.61859840742404e-20,19.448220464965,0,230.483927026899,0,0
1297,2.41501639012506e-20,19.4233887020485,0,230.508943695013,0,0
1298,2.22722884037479e-20,19.3986199911436,0,230.53389655771,0,0
1299,2.05401301459108e-20,19.3739140931411,0,230.55878585818,0,0
1300,1.8942406184719e-20,19.3492707701364,0,230.583611838387,0,0
1301,1.74687052817631e-20,19.3246897854218,0,230.608374739064,0,0
1302,1.61094207111644e-20,19.300170903479,0,230.633074799733,0,0
